fetched_at,id,symbol,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,last_updated
2026-02-08T01:28:32,binancecoin,bnb,BNB,651.8,88886008880,1801062024,667.0,631.28,0.12317679081620157,-0.6256556304591978,2026-02-07T19:28:27.867Z
2026-02-08T01:28:32,solana,sol,Solana,88.49,50191579264,6559339840,89.4,84.66,0.5024866094635286,2.864322436342175,2026-02-07T19:28:21.475Z
2026-02-08T01:29:32,bitcoin,btc,Bitcoin,69426,1387689941212,78663578801,71604,67656,0.23250234796912214,-1.2341041255816307,2026-02-07T19:28:28.220Z
2026-02-08T01:29:32,ethereum,eth,Ethereum,2092.53,252628758138,45513546036,2113.07,2001.54,0.35852638612388854,2.0274354581080445,2026-02-07T19:28:28.203Z
2026-02-08T01:29:32,binancecoin,bnb,BNB,651.8,88886008880,1801062024,667.0,631.28,0.12317679081620157,-0.6256556304591978,2026-02-07T19:28:27.867Z
2026-02-08T01:29:32,solana,sol,Solana,88.49,50191579264,6559339840,89.4,84.66,0.5024866094635286,2.864322436342175,2026-02-07T19:28:21.475Z
2026-02-08T01:30:32,bitcoin,btc,Bitcoin,69412,1387334942601,78849287074,71604,67656,0.21293878349230122,-1.3036750393607421,2026-02-07T19:30:27.687Z
2026-02-08T01:30:32,ethereum,eth,Ethereum,2091.76,252473638999,45772369567,2113.07,2001.54,0.32149821200853396,1.989791525093816,2026-02-07T19:30:28.068Z
2026-02-08T01:30:32,binancecoin,bnb,BNB,651.72,88872802333,1809005151,667.0,631.28,0.11140783283567798,-0.6373365670885925,2026-02-07T19:30:27.613Z
2026-02-08T01:30:32,solana,sol,Solana,88.46,50191579264,6422004407,89.4,84.66,0.46904124956232834,2.8300911013678953,2026-02-07T19:30:26.176Z
2026-02-08T01:31:32,bitcoin,btc,Bitcoin,69412,1387334942601,78849287074,71604,67656,0.21293878349230122,-1.3036750393607421,2026-02-07T19:30:27.687Z
2026-02-08T01:31:32,ethereum,eth,Ethereum,2091.76,252473638999,45772369567,2113.07,2001.54,0.32149821200853396,1.989791525093816,2026-02-07T19:30:28.068Z
